policy,probe,rounds,n_tuples,avg_hd_mean,avg_hd_std,min_hd_mean,max_hd_mean,zero_diff_total,full_diff_pct
Spiral-ATCG/NULL,input,6,16,159.9207,0.4698,135.2500,185.8750,0,100.00
Spiral-ATCG/NULL,input,8,16,159.7332,0.3675,134.0000,184.2500,0,100.00
Spiral-ATCG/NULL,input,12,16,160.1051,0.3751,134.3750,186.7500,0,100.00
Spiral-ATCG/NULL,seed,2,16,160.1245,0.4935,135.3750,186.0000,0,100.00
Spiral-ATCG/NULL,seed,3,16,160.2407,0.4965,134.6250,185.2500,0,100.00
Spiral-ATCG/NULL,seed,4,16,159.9580,0.6482,135.2500,185.3750,0,100.00
Spiral-ATCG/NULL,seed,6,16,159.9873,0.5326,133.5000,186.6250,0,100.00
Spiral-ATCG/NULL,seed,8,16,160.1235,0.7028,137.1250,185.0000,0,100.00
Spiral-ATCG/NULL,seed,12,16,160.1235,0.6017,134.7500,185.2500,0,100.00
Spiral-ATCG/NULL,nonce,2,16,159.7676,1.0189,135.1250,181.6250,0,100.00
Spiral-ATCG/NULL,nonce,3,16,159.9453,0.6457,136.3750,184.0000,0,100.00
Spiral-ATCG/NULL,nonce,4,16,159.6689,0.7541,135.3750,183.7500,0,100.00
Spiral-ATCG/NULL,nonce,6,16,160.4062,0.9087,138.3750,183.5000,0,100.00
Spiral-ATCG/NULL,nonce,8,16,159.8496,0.5143,136.8750,182.5000,0,100.00
Spiral-ATCG/NULL,nonce,12,16,159.9365,0.7682,137.1250,182.5000,0,100.00
